"filename", "language", "Python", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/actual_donwload.py", "Python", 16, 0, 5, 21
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 38, 5, 9, 52
"/home/lars/Projects/music-downloader/src/music_kraken/objects/__init__.py", "Python", 1, 0, 0, 1
"/home/lars/Projects/music-downloader/src/music_kraken/objects/collection.py", "Python", 7, 1, 2, 10
"/home/lars/Projects/music-downloader/src/music_kraken/objects/metadata.py", "Python", 2, 0, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/objects/parents.py", "Python", -4, 0, 0, -4
"/home/lars/Projects/music-downloader/src/music_kraken/objects/song.py", "Python", -9, 10, 4, 5
"/home/lars/Projects/music-downloader/src/music_kraken/objects/target.py", "Python", 29, 4, 12, 45
"/home/lars/Projects/music-downloader/src/music_kraken/pages/abstract.py", "Python", 225, 12, 42, 279
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/download.py", "Python", 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/multiple_options.py", "Python", 69, 0, 31, 100
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/search.py", "Python", -51, 15, -16, -52
"/home/lars/Projects/music-downloader/src/music_kraken/pages/encyclopaedia_metallum.py", "Python", -4, -3, 1, -6
"/home/lars/Projects/music-downloader/src/music_kraken/pages/musify.py", "Python", 55, 11, 18, 84
"/home/lars/Projects/music-downloader/src/music_kraken/pages/support_classes/__init__.py", "Python", 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/pages/support_classes/default_target.py", "Python", 55, 0, 15, 70
"/home/lars/Projects/music-downloader/src/music_kraken/pages/support_classes/download_result.py", "Python", 51, 0, 15, 66
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py", "Python", -3, 0, 0, -3
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/id3.py", "Python", 9, 0, 4, 13
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 13, 24, 7, 44
"/home/lars/Projects/music-downloader/src/music_kraken/utils/string_processing.py", "Python", 8, 0, 5, 13
"/home/lars/Projects/music-downloader/src/musify_search.py", "Python", 12, 0, 3, 15
"Total", "-", 519, 79, 160, 758